"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 20 20:32:27 CST 2021","Thu May 20 20:32:27 CST 2021","651","","test_profile","","","","profile用户信息接口","
	profile用户信息接口
	:param conf_getCookie:登录接口返回的cookie
	:param get_param_info:fixture返回，profile用户信息接口的入参（yaml文件）
	"
"passed","Thu May 20 20:32:26 CST 2021","Thu May 20 20:32:26 CST 2021","0","","test_profile","","","","profile登录接口",""
